,input,output
13,kids process stress and anxiety differently at different ages. how parents help should be tailored to a childs needs and age. getty images like adults kids are struggling right now. but how that struggle manifests and what parents can do to help varies by age. younger children may be regressing and are in need of age appropriate explanations about what s going on. depression among teenagers may be on the rise as a result of physical distancing and missing events. online counselors and. ,0
14,researchers say people with covid-19 have reported losing their sense of smell but that s not the only symptom people should look for. getty images researchers say that losing ones sense of smell can be a symptom of covid-19. anyone who s recently lost their sense of smell should keep an eye out for other symptoms such as fever or persistent cough. if other covid-19 symptoms are present its best to seek medical help. if the loss of smell is related to covid-19 the sense will likely. ,0
15,experts say cancer survivors as well as their spouses and partners will experience job lock where they continue at their workplace to maintain their current health insurance. getty images researchers say 20 percent of cancer survivors have job lock where they stay in jobs mainly to keep their health insurance. experts say cancer survivors should take the time to fully understand their health coverage at work. there are alternatives for health insurance under the affordable care act. ,0
16,according to the fda one plasma donation can help as many as four people. getty images the food and drug administration fda is encouraging people who have recovered from a confirmed infection with the new coronavirus to consider donating their plasma so it can be injected into people with severe forms of the infection. its a treatment called and variations of it have been used to treat other infectious diseases including previous variations of the coronavirus. the fda says one donat. ,0
17,experts say parents should practice self care so they re emotionally equipped to help their children deal with anxiety about covid-19. getty images researchers say children can tell when parents are under stress even if parents try to hide their anxiety. experts say that during the covid-19 pandemic its important for parents to acknowledge their stress to their children in an age appropriate manner. they add that parents should practice self care so they re able to take care of their ch. ,0
18,experts warn people are being more exposed to cleaners and disinfectants especially among children. getty images calls to u.s. poison control centers about chemical cleaners and disinfectants surged 20 percent between january and march 2020 compared with the prior year. the report indicates an uptick in poisoning that s clearly associated with the spread and mounting worry of covid-19. all different age groups showed an increase in exposures to cleaners and disinfectants but young childr. ,0
19,the cdc recently added new known symptoms of covid-19. getty images experts are still learning the symptoms of the infection. loss of smell dizziness and rash are among the symptoms of covid-19 that people may miss. cardiovascular and blood clotting issues are also now becoming a problem for some people with the disease. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our li. ,0
20,even if you re stuck at home you may be able to help researchers. getty images researchers at rice university are seeking volunteers for crowdsourced studies to help them better understand the impact of the pandemic. you do nt even have to leave the couch to get involved in the research. playing the role of citizen scientist through crowdsourced studies can be an empowering experience during a time when many people feel vulnerable. all data and statistics are based on publicly available da. ,0
21,the cdc has referred to large gatherings as potential super spreading events that could possibly undo the progress that s been made in the battle against covid-19. getty images despite warning that gathering in groups can contribute to the spread of covid-19 people are meeting in large numbers for parties beach days and political protests. the spread of covid-19 has been linked to social gatherings. the centers for disease control and prevention cdc has referred to such gatherings a. ,0
22,health experts warn experimental drugs have been found to be effective before they re made widely available. getty images the antimalarial drug hydroxychloroquine is being widely promoted as a cure for covid-19 but we still lack good data on its true benefits. some small clinical trials have shown possible benefits. but others have shown the opposite. the fda reissued a warning that people should nt take the drug without a doctors supervision. the antimalarial drug hydroxychloroquine r. ,0
23,experts say nursing facilities are nt really set up to deal with a pandemic such as covid-19. getty images experts say nursing facilities are nt well equipped to handle a pandemic such as covid-19. they recommend that family members with loved ones in a nursing home communicate with as many employees there as possible. they also recommend having regular facetime sessions with loved ones as well as bringing them reading material. all data and statistics are based on publicly available data. ,0
24,researchers say 25 percent to 50 percent of people with covid-19 are unaware they have the virus. this allows the novel coronavirus to spread more rapidly throughout a community. experts say these carriers without symptoms make it even more important for people to wear face masks in public. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for the most re. ,0
25,fatigue and body aches are symptoms of both the flu and the novel coronavirus but the flu usually does nt cause shortness of breath. getty images experts note that the novel coronavirus the flu and allergies have different symptoms. the main symptoms of the novel coronavirus are fever tiredness cough and shortness of breath. allergies have more chronic symptoms and include sneezing wheezing and coughing. the flu has symptoms similar to the novel coronavirus such as fever and bod. ,0
26,"experts are trying to determine how many people have developed covid-19. getty images researchers are trying to determine how many people had already been exposed to the virus that causes covid-19 and became immune to it. stanford researchers sampled over 3,000 residents to discover how many had antibodies to sars cov-2 in their blood also known as. the stanford findings have nt yet been peer reviewed and questions have been raised about the sample size being too small. another study. ",0
27,people living with diabetes may be at four times greater risk for death from covid-19 than those who do nt live with the condition. getty images new research has found that people with diabetes and poorly managed hyperglycemia who are hospitalized for covid-19 have a death rate and longer length of hospital stay that s four times higher than people without these conditions. forty two percent of those without a prior diagnosis of diabetes before being admitted and who developed hyperglycemia. ,0
28,people with mild symptoms of covid-19 can quickly become seriously ill. experts say these worsening conditions are usually caused by an overreaction of the immune system after symptoms first appear. experts say its important to rest and stay hydrated even if your symptoms are mild. they also say you should isolate yourself at home if you have any symptoms. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visi. ,0
29,experts say covid-19 sheltering in place has added more burdens on the parents of new babies. they say its important for new parents to seek out virtual assistance from friends and family. they also advise that friends and family can develop meal trains to drop off food. experts also urge new parents to practice self care and share the load with child raising and housework. all data and statistics are based on publicly available data at the time of publication. some information may be. ,0
30,while sheltering in place people living with autism may be finding it harder to do daily tasks and be facing more stress than normal because the daily routines they rely on have been disrupted. getty images stay at home orders can be particularly challenging for people living with autism. right now autistic individuals could be facing emotional distress at the changes brought forth by the covid-19 outbreak. while sheltering in place they may be finding it harder to do daily tasks and fa. ,0
31,more people are drinking alcohol while in quarantine. getty images a spike in alcohol sales has alarmed health experts and officials around the world. increased drinking can make people even more vulnerable to respiratory diseases like covid-19. those who have any of the known risk factors for covid-19 like diabetes or heart disease should drink even less. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit o. ,0
32,in the fight against covid-19 nurses are real life superheroes. getty images many nurses around the world are making huge personal sacrifices to help fight the covid-19 pandemic. some have traveled from across the country to help. others have found themselves working in departments they never practiced in before learning new routines and protocols as they go. in many cases they re also working without the proper personal protective equipment ppe they need to ensure their own safety. . ,0
33,even for people who recovery from covid-19 health issues can remain. getty images patients with covid-19 who developed acute respiratory distress syndrome ards could have a greater risk of long term health issues. additionally people requiring intensive care are at increased risk for mental health issues like post traumatic stress disorder ptsd anxiety and depression. impaired lung function from sars cov-2 infection can negatively affect other organs like the heart kidneys and br. ,0
34,healthline contacted several public health specialists to see what they think of reopening the country amid the covid-19 pandemic. experts say some sort of physical distancing will still be required over the long term. additionally reopening too quickly could mean a resurgence of the virus. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for the most r. ,0
35,doctors in new york city say the rate of kidney injury among covid-19 patients is putting a strain on dialysis machines and other treatment equipment. getty images doctors in new york city say people hospitalized with severe cases of covid-19 are experiencing kidney damage. the doctors say this phenomenon is putting a strain on dialysis machines and other equipment used to treat kidney injury. they say a national effort is needed to help new york city with this emerging health issue as wel. ,0
36,dr. sasha shillcutt a cardiac anesthesiologist says she and her fellow anesthesiologists are on a level of high alert throughout their hospital shifts. image via sasha shillcutt anesthesiologists have been called to the front lines in the covid-19 pandemic. one of their chief tasks is the intubation of a patient who needs to go on a ventilator a delicate process that exposes an anesthesiologist to potential infection. anesthesiologists say there s also an emotional component they fill. ,0
37,experts say phone calls and video chats are good ways to stay in touch with family members hospitalized with covid-19. getty images family members are having to learn how to be patient advocates when they are nt allowed to visit loved ones with covid-19 in the hospital. experts say phone calls and video chats are the best ways to stay in touch with a hospitalized relative. experts say its important to designate one family member to be the point person to talk to doctors. they add its a. ,0
38,from the time of day you shop to how much of an item you buy there are a number of simple things you can do to make grocery shopping safer for everyone during the pandemic. getty images the cdc has made certain recommendations during the covid-19 pandemic to keep us all safer. being a considerate shopper means following these guidelines. its also important to be aware of the needs of others so everyone is able to buy the food and supplies they need. store employees and delivery personn. ,0
39,some level of physical distancing may be needed even next year. getty images as the country comes out of lockdown there will likely be a resurgence of sars cov-2 infections. so some level of physical distancing will be needed well into the future. because of the risk that infections will spike again intermittent physical distancing may be needed. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our corona. ,0
40,the world health organization who says we do nt have enough evidence to understand if and why some people may experience reactivation after recovery. we need more data to determine if and why the virus may be having a flare up in some infected people. but we may discover its all tied back to the functionality of each persons immune system. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronaviru. ,0
41,paper towels are the better choice for drying your hands. getty images the ongoing covid-19 pandemic has brought a laser focus on handwashing and hygiene. a new study finds using paper towels is more effective than conventional jet air dryers for removing microbes when drying poorly washed hands. the research team discovered there was much more environmental contamination after jet air dryer use. all data and statistics are based on publicly available data at the time of publication. some. ,0
42,experts are looking to keep patients with covid-19 off ventilators if possible .. getty images in some people with covid-19 an overreaction of their immune system can damage their lungs. an anti inflammatory drug may help reduce this damage and keep them off a ventilator. the food and drug administration has also given the green light to clinical trials of compounds that were still being studied for use in other conditions. all data and statistics are based on publicly available data at th. ,0
43,physical activity does nt have to take the form of traditional exercise in order to be beneficial. there are a number of ways you can get your heart rate up while staying close to home. getty images experts say that remaining physically active during the covid-19 outbreak is an important way to combat this disease. exercise has many benefits including reducing your stress and boosting your immune system. physical activity does nt have to take the form of traditional exercise in order to b. ,0
44,experts say rural areas have older populations that are less healthy and have fewer medical facilities than urban and suburban regions. jeremy hogan echoes wire barcroft media via getty images the covid-19 pandemic has already swept through cities and urban centers. now the illness appears to be building like an infectious prairie fire in rural america as well as in larger towns in the midwest. that was nt the case just a month ago. many rural communities are nt seeing anything. they re sim. ,0
45,experts say you do nt need to wear gloves at the grocery store especially if you are diligent about washing your hands and not touching your face. getty images experts say wearing gloves while grocery shopping probably wo nt lower your risk of contracting the virus that causes covid-19. they say the gloves can make you more conscious of touching items as well as send a message to people nearby that you are taking precautions. the centers for disease control and prevention provides tips on. ,0
46,researchers say 25 percent to 50 percent of people with covid-19 are unaware they have the virus. this allows the novel coronavirus to spread more rapidly throughout a community. experts say these carriers without symptoms make it even more important for people to wear face masks in public. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for the most re. ,0
47,california installed strict shelter in place orders in mid march. experts say this significantly contained covid-19 spread early on. getty images california is looking at plans to slowly lift its covid-19 shelter in place orders. the state has had fewer covid-19 cases and deaths than other states. experts say californias decision to implement stay at home orders early on has been a big factor in its success in battling the outbreak. they add that californias healthcare system was also. ,0
48,health experts warn experimental drugs have been found to be effective before they re made widely available. getty images the antimalarial drug hydroxychloroquine is being widely promoted as a cure for covid-19 but we still lack good data on its true benefits. some small clinical trials have shown possible benefits. but others have shown the opposite. the fda reissued a warning that people should nt take the drug without a doctors supervision. the antimalarial drug hydroxychloroquine r. ,0
49,transfer of the novel coronavirus via clothing is unlikely but experts agree there are a few scenarios in which immediate laundering is a good idea. getty images there have been no documented cases of transmission of the novel coronavirus via clothing and shoes at this point. if you are taking care of or frequently in close proximity to an individual with covid-19 doing laundry often is an essential part of preventive hygiene. this includes in particular high risk individuals such as h. ,0
50,stress induces the production and release of key stress hormones in your body which can have a huge impact on your skin. getty images staying inside for long periods of time can have effects on your skin. dry air stress and a change in skincare routine can all disrupt your skin health. mild soaps moisturizers and do it yourself facials can help keep your skin healthy. all data and statistics are based on publicly available data at the time of publication. some information may be out of. ,0
51,telehealth options are making a big difference for people seeking medical help during the covid-19 pandemic especially older adults. getty images in march the centers for medicare medicaid services began allowing medicare beneficiaries to receive care via telehealth. telemedicine is best served when it occurs between you and a doctor you already have a relationship with. to help keep patients with chronic conditions out of the emergency room and to leave room for those with covid-19. ,0
52,we talked to experts about using herbal remedies amid a pandemic. getty images herbal remedies have long been used to treat infections and viruses such as the common cold influenza fever and even herpes. but one of the biggest problems with using these herbs in the u.s. is that many herbal and natural remedies are low quality. certain herbs if misused could boost the immune system even more and lead to a cytokine storm. all data and statistics are based on publicly available data a. ,0
53,experts say staffing levels are becoming a major concern as more frontline workers become ill with covid-19. getty images more frontline workers such as police officers firefighters paramedics and hospital employees are becoming ill with covid-19. experts say the increase is due to a lack of personal protective equipment as well as the close contact these workers have with the virus. staffing levels at hospitals police stations and ambulances are being affected. experts say emerge. ,0
54,experts say biology as well as behavior may be among the reasons more men than women are developing covid-19 and dying from the disease. getty images several studies have shown that more men are dying from covid-19 than women. experts say part of the reason is women tend to have stronger immune systems than men. they add that men also tend to engage in more risky behavior such as ignoring physical distancing and they do nt take symptoms as seriously. all data and statistics are based on p. ,0
55,while there s currently no scientific evidence that establishes hiv itself as an increased risk factor for covid-19 experts say that does nt mean people living with hiv should nt take extra steps to protect their health. getty images currently there s no scientific evidence that establishes living with hiv as an increased risk factor for covid-19. some hiv medications are being used in clinical trials to see whether they can combat sars cov-2 the virus that causes covid-19. so far not. ,0
56,despite the high number of deaths there are early signs that the united states has avoided the worst case scenario. while projections have changed over time about the potential public health outcomes from covid-19 one thing that experts agree on its not going away anytime soon. in the fall there s a possibility of covid-19 returning along with the seasonal flu. this week was expected to be the most difficult as far as deaths and hospitalizations related to covid-19 in the united stat. ,0
57,picking the right material for a face mask can help keep you safe. getty images using doubled up 600-thread count pillowcases or flannel pajamas you could make a mask that provides up to 60 percent filtration. other materials that can be used to filter out dangerous particles include hepa filters vacuum cleaner bags and quilters cotton. but be careful of materials like household air filters that may contain fiberglass. they could still damage your lungs even if they filter out virus p. ,0
58,scientists around the world are working on a number of vaccines and treatments for covid-19. xinhua zhang yuwei via getty images scientists around the world are working on potential treatments and vaccines for the new coronavirus disease known as covid-19. several companies are working on antiviral drugs some of which are already in use against other illnesses to treat people who already have covid-19. other companies are working on vaccines that could be used as a preventive measure aga. ,0
59,a new study reports that about a third of people in the united states who are working from home during the covid-19 pandemic are also drinking on the job. about 36 percent of men and 26 percent of women said they drink during work hours. experts say alcohol consumption while working can affect job performance and could be noticed by employers. the experts also expressed concerns over the possibility that heavy alcohol use could increase during shelter in place orders. all data and stat. ,0
60,new figures indicate that the covid-19 pandemic is hitting african american communities harder than other groups. experts say the trend is fueled by factors such as higher rates of underlying medical conditions as well as a lack of health services. experts say more testing should be done in minority communities and more medical services should be provided. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit o. ,0
61,here are 9 healthier choices you may want to consider and 6 items you should consider limiting or avoid altogether. instead she said look for foods rich in antioxidants fiber protein and healthy fats to support your energy needs and keep you at your best. it is important to keep in mind both shelf life and the nutritional value. it can be tempting to pack your cart with cookies and sweet treats to get your mind off the stressors we all face but these foods wo nt support your immune syst. ,0
62,experts say the false negatives in covid-19 tests probably occur due to insufficient collecting of samples not the laboratory examination itself. getty images early research indicates that a common test for covid-19 may produce false negatives up to 30 percent of the time. experts say the inaccuracies are probably caused by the collection of samples not the actual laboratory testing. they say that people who have covid-19 symptoms should assume they have the illness even if they test. ,0
63,experts say establishing consistent daily and weekly routines is a way for people to feel there is some certainty during covid-19 isolation. among the advice for daily routines is to create a workspace outside your bedroom and get dressed as if you re going into the office. among the advice for weekly routines is to make your days consistent but still different as well as selecting certain days for exercise and special dinners. all data and statistics are based on publicly available dat. ,0
64,experts say treating yourself at home for a mild case of covid-19 is similar to how you would treat yourself if you have the flu. getty images common symptoms for mild cases of covid-19 include sore throat coughing and fever. there s no shortcut to getting over the virus other than best practice advice such as staying hydrated getting plenty of rest and monitoring symptoms. those with mild symptoms should follow the cdcs to limit further transmission. those at higher risk due to a. ,0
65,celebrities and musicians are creating online videos to help lift peoples spirits during the covid-19 shelter in place orders. in addition people are creating sidewalk chalk art and putting teddy bears in windows to help ease the lockdowns isolation. experts say the efforts show how people are trying to shine a bright light during the darker days of this pandemic. all data and statistics are based on publicly available data at the time of publication. some information may be out of da. ,0
66,experts are worried if people are asymptomatic they could still spread the virus. getty images the from the cdc has sparked a fiery debate among health experts. the guidance will allow asymptomatic people who ve been exposed to the virus to go back to work as long they take certain steps. some experts say the guidance could mean triggering a second wave of covid-19. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. ,0
67,members of the military tell healthline they have not been adequately protected from the new coronavirus sars cov-2 on bases and on ships. getty images members of the army air force and navy tell healthline they are fearful of developing covid-19 on ships and military bases. they say the pentagon is not doing enough to protect them from the virus in their close quarters. veterans organizations also say the u.s. department of veterans affairs is not providing adequate healthcare for vet. ,0
68,there are simple ways to keep your house clean during the covid-19 outbreak. getty images sars cov-2 and other potentially life threatening pathogens can invade your living spaces remarkably easily. a recent study found that sars cov-2 can persist on plastic or stainless steel surfaces for 2 to 3 days. according to the american lung association there are cleaning agents and household products that can irritate the eyes or throat or cause health problems that include cancer. all data and. ,0
69,experts say past research has helped speed up the process for a covid-19 vaccine but new potential products still have to get through some time consuming scientific steps. thibault savary afp via getty images past research is helping speed up the search for a covid-19 vaccine but the approval process will probably still take 18 months to 2 years. experts note that potential vaccines still need to go through a rigorous three phase clinical trial process. experts add that its important. ,0
70,covid-19 symptoms can vary widely in different people ranging from deadly pneumonia to a loss of smell or even no symptoms. many people report mild symptoms initially before more severe fever and coughing. while 80 percent of cases are estimated to be mild they can still take a severe toll. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for the most. ,0
71,experts say do nt count on supplements as a way to stop covid-19. getty images doctors warn that relying on supplements and taking too much of them may do more harm than good. many vitamins and minerals can impact overall immunity but no single one can solely influence immunity. want to add a new supplement. talk about it with your doctor. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus. ,0
72,experts say people with severe mental illness are more likely to contract the new coronavirus and are less likely to get proper treatment for its disease covid-19. getty images experts say people with severe mental illness face serious issues during the covid-19 pandemic. they say people with mental illness have lifestyles that increase their risk for contracting the new coronavirus. they also have more underlying health conditions that raise their risk for developing more serious cases o. ,0
73,experts say people with asthma do nt face a higher risk of contracting covid-19 but they do face a higher risk of serious illness if they contract with the virus. experts recommend people with asthma consult with their doctor about their medications. people with asthma are also advised to reduce stress and take extra precautions around their home. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coron. ,0
74,distance learning during the covid-19 outbreak can provide kids with benefits that go beyond academics. getty images while under stay at home orders its important for children to still have a consistent structure to their day. although kids may not be learning as much as they would in the classroom online lessons and meetings with other students can help provide social interaction children are missing while stuck at home. if your childs schoolwork seems overwhelming speak with his or. ,0
75,experts are learning how covid-19 could mutate. tayfun coskun anadolu agency via getty images every virus mutates its part of the virus life cycle. those shifts and changes are nt always a big deal. the new coronavirus is an rna virus a collection of genetic material packed inside a protein shell. rna viruses like the flu and measles are more prone to changes and mutations compared with dna viruses such as herpes smallpox and human papillomavirus hpv. as the new coronavirus sars-. ,0
76,homemade face coverings probably wo nt protect you against covid-19 but they can help prevent you from spreading the disease to others if you have the virus. spencer platt getty images as confirmed cases of covid-19 continue to rise the cdc is recommending that everyone wear a cloth mask when they go out in public. experts say the homemade masks wo nt protect someone from getting sick but they can help prevent the spread of the disease by those with the virus. experts also recommend tha. ,0
77,experts say pets can help people feel less lonely as well as provide joy during the isolation of the covid-19 outbreak. getty images experts say a pets can help people deal with loneliness and isolation during covid-19 shelter in place orders. they add that pets especially dogs can help motivate people to go outside to exercise and take breaks from work. pet adoptions are on the rise during the covid-19 outbreak but experts say people should take into consideration where they live and w. ,0
78,experts are learning how antibody tests may help fight covid-19. horacio villalobos corbis via getty images the fda approved the first antibody test for covid-19. several groups are also working on a blood test that would show whether someone once had covid-19 and possibly whether they re immune. these types of tests could help officials discover who s no longer at risk for developing the disease. all data and statistics are based on publicly available data at the time of publication. s. ,0
79,while sheltering in place kids and teens are going to be craving interactions with friends that ca nt be replicated online. getty images social distancing may be particularly difficult for some children and teens. as children get older and more socially adept their peer group becomes the more important hub of their social development than their immediate family. experts say that while some parents may worry about the impact stay at home orders can have on a childs social development th. ,0
80,caring for people with alzheimers disease during this period of social distancing can be challenging but following these 5 simple tips may help. getty images demonstrating how to wash your hands for a loved one with alzheimers disease can help ensure they practice safe hygiene. the alzheimers association recommends planning for other caregivers to step up in case you become ill with covid-19. talk to your loved one about the pandemic in terms they understand. practice self care so yo. ,0
81,masks used by medical personnel have been the focus of covid-19 shortages but experts say products such as pain relievers and saline bags could also be affected. ina fassbender afp via getty images in addition to masks and gloves health officials say the covid-19 pandemic could result in shortages of medical supplies such as saline bags and prescription pain relievers. there s a particular concern about shortages of a drug used to treat malaria and lupus that s now being tested as a poten. ,0
82,experts are saying there are signs that covid-19 could become a seasonal illness like influenza. they say better treatments and a vaccine will be important if covid-19 returns next year. health officials in australia have already told citizens to get flu shots early and start practicing social distancing as the southern hemisphere begins to enter its winter season. all data and statistics are based on publicly available data at the time of publication. some information may be out of dat. ,0
83,experts say covid-19 is two to three times more contagious than flu so the virus can spread rapidly from person to person from gatherings. getty images experts are noting examples across the country of how one social gathering such as a choir practice or a funeral can quickly spread covid-19. they note the illness caused by the novel coronavirus appears to be two to three times more contagious than the flu. they add that early research indicates that people with covid-19 may transmit the. ,0
84,health care providers take extra steps to avoid covid-19 in new york city. stephanie keith getty images all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for the most recent information on the covid-19 outbreak. physicians tell us what its like to battle the new coronavirus in the epicenter of the u.s. outbreak. in new york city regular life has become surreal. ,0
85,medical experts say its key to not stop your medications without talking to your physician. getty images the concern began after a study in stated that ibuprofen boosts the angiotensin converting enzyme 2 ace2 which may facilitate and worsen covid-19. the world health organization warned most patients to stick with acetaminophen. now they say they do not advise against using ibuprofen. most cardiologists advise patients to stay on their medications. all data and statistics are based on. ,0
86,knowing what to buy and how much can help you be better prepared during a pandemic. getty images of course the best time to shop for a pandemic is before it begins. but there are many things you can do during a pandemic to prepare yourself. having nonperishable foods and water on hand will prepare you for any sort of natural disaster including a pandemic. its not necessary to hoard during a pandemic. practicing social distancing and keeping your hands clean will help keep you safe whi. ,0
87,some experts are saying people who use e cigarettes and regular cigarettes could face a higher risk of serious illness with covid-19. they say that s because vaping and smoking damages the lungs and makes it more difficult for a person to fight off covid-19. the experts add that despite the potential serious consequences people who vape or smoke might still not be considered high priority patients at medical facilities. they say the best thing to do now is stop smoking and vaping. all. ,0
88,home healthcare workers are using everything from televisits and protective gear to thermometers to continue to take care of people in their homes. getty images the covid-19 outbreak is forcing home healthcare workers to change how they treat older adults and ill people. agency officials say their workers are conducting more televisits to help avoid transmitting the virus to their clients. they re also wearing personal protective gear more often and carrying thermometers to check for fever. ,0
89,as the covid-19 outbreak grows in the united states people who are immunocompromised are put in great danger simply living their lives. as the majority of americans are now under some sort of shelter in place order we talked to two people who are immunocompromised about their lives amid the pandemic. an estimated 60 percent of all americans live with at least one chronic health condition that puts them seriously at risk for complications from the novel coronavirus. all data and statistics ar. ,0
90,a recent study reports that covid-19 can live on surfaces such as cardboard for up to 24 hours and plastic and stainless steel for up to 3 days. however a microbiologist says this does nt call for panic. bathrooms and kitchens are areas that harbor germs in the home. experts say proper cleaning can clear away a variety of germs. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and foll. ,0
