input,output,original
use hair dryer breath hot air cure covid-19 stop spread,0,Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread
coronavirus-rel health advisori graphic issu world health organ warn unprotect sex farm anim,0,A coronavirus-related health advisory graphic issued by the World Health Organization warned against unprotected sex with farm animals
gargl salt water vinegar 'eliminate' covid-19 coronaviru throat infect person' system,0,Gargling with salt water or Vinegar 'eliminate' the COVID-19 coronavirus from the throat of an infected person's system
drink boil garlic water cure covid-19,0,Drinking boiled garlic water will cure COVID-19
wash hand decreas number microb hand help prevent spread infecti diseas,1,Washing your hands decreases the number of microbes on your hands and helps prevent the spread of infectious diseases
chines govern build hospit 10 day deal new coronaviru,1,The Chinese government is building a hospital in 10 days to deal with the new coronavirus
"video show chaotic scene wuhan, china, involv doctor arm weapons, gunshot deter peopl leav new coronaviru quarantine, woman shot dead attempt break roadblock",0,"A video shows a chaotic scene in Wuhan, China, involving doctors armed with weapons, gunshots to deter people from leaving a new coronavirus quarantine, and a woman who was shot dead after she attempted to break through a roadblock"
"people' daili video claim show ""full-front disinfect work"" wuhan includ footag taken airport taiwan",0,"A People's Daily video claiming to show ""full-front disinfection work"" in Wuhan included footage taken at an airport in Taiwan"
"chines offici seek approv start mass kill 20,000 peopl order stop spread new coronaviru",0,"Chinese officials are seeking approval to start the mass killing of 20,000 people in order to stop the spread of new coronavirus"
"satellit data show larg releas sulfur dioxid ga outskirt wuhan, china, could view evid mass cremat new coronaviru victim",0,"Satellite data show a large release of sulfur dioxide gas from the outskirts of Wuhan, China, and could be viewed as evidence of the mass cremation of new coronavirus victims"
trump administr fire u.s. pandem respons team 2018 cut cost,1,The Trump administration fired the U.S. pandemic response team in 2018 to cut costs
u.s. hous speaker nanci pelosi held coronaviru fund packag democrat could run neg ad republican made latter look bad,0,U.S. House Speaker Nancy Pelosi held up a coronavirus funding package so that Democrats could run negative ads about Republicans that made the latter look bad
"u.s. feder govern support free coronaviru testing, paid sick famili leave, food assist poor famili",1,"U.S. federal government will support for free coronavirus testing, paid sick and family leave, and food assistance for poor families"
u.s. vice presid mike penc took trump administration' respons outbreak new coronavirus. touch nasa gear label ‘do touch’,0,U.S. Vice President Mike Pence took over the Trump administration's response to an outbreak of a new coronavirus. He Touch NASA gear labeled ‘Do Not Touch’
"u.s. presid barack obama wait million infect thousand dead declar public health emerg concern swine flu, h1n1 viru",0,"U.S. President Barack Obama waited until millions were infected and thousands were dead before declaring a public health emergency concerning swine flu, the H1N1 virus"
14 peopl coronaviru took plane us uninfect passeng,1,14 People with coronavirus took on a plane to US with uninfected passengers
donald trump own stock thermo-fish scientif time presidenti administr advoc covid-19 test use thermo-fish equip,0,Donald Trump owned stock in Thermo-Fisher Scientific at a time when his presidential administration was advocating for a COVID-19 test that uses Thermo-Fisher equipment
"denver councilwoman candi cdebaca tweet ""#solidarity"" respons post suggest that, infect new coronavirus, person would attend mani trump ralli possibl",1,"Denver councilwoman Candi CdeBaca tweeted ""#solidarity"" in response to a post suggesting that, if infected with new coronavirus, a person would attend as many Trump rallies as possible"
"white hous sent text messag mid-march 2020 inform peopl ""mandatori quarantine"" u.s. would start within 48 hour",0,"The White House sent out text messages in mid-March 2020 informing people that a ""mandatory quarantine"" in U.S. would start within 48 hours"
"congress pass us$8.3 billion coronaviru respons bill, includ $2.2 billion cdc “prevent, prepar for, respond coronavirus, domest internationally.”",1,"Congress has passed a US$8.3 billion coronavirus response bill, which includes $2.2 billion for the CDC to “prevent, prepare for, and respond to coronavirus, domestically or internationally.”"
new york governor andrew cuomo call feder government’ respons coronaviru outbreak “absurd nonsensical.”,1,New York Governor Andrew Cuomo called the federal government’s response to the coronavirus outbreak “absurd and nonsensical.”
"get sick coronavirus, donald trump make stay home",0,"If you get sick with coronavirus, Donald Trump can make you stay home"
"get sick coronavirus, u.s. govern offici commun make stay home",1,"If you get sick with coronavirus, an U.S. government official in your community can make you stay home"
chines intellig offic reveal new coronaviru develop lab bioweapon,0,A Chinese intelligence officer revealed that a new coronavirus was developed in a lab as a bioweapon
"major diseas outbreak occur ""everi elect year"" sinc 2004",0,"A major disease outbreak occurred in ""every election year"" since 2004"
"fiction ""umbrella corporation"" game ""resid evil"" share logo biotech lab wuhan, hubei provinc china, new coronaviru believ origin",0,"The fictional ""Umbrella Corporation"" from the game ""Resident Evil"" shares a logo with a biotech lab in Wuhan, Hubei Province in China, where a new coronavirus is believed to have originated"
photograph show railroad tank car identifi carri 'covid-19.',0,A photograph shows a railroad tank car identified as carrying 'COVID-19.'
travel beij caught dull intern airport suitcas full dead bird person tri disguis pet food,0,A traveler from Beijing was caught at Dulles International Airport with a suitcase full of dead birds that the person tried to disguise as pet food
nostradamu propheci foretel 2020 covid-19 coronaviru diseas pandem,0,A Nostradamus prophecy foretells the 2020 COVID-19 coronavirus disease pandemic
"self-describ psychic sylvia brown ""predicted"" 2020 outbreak new coronaviru",0,"Self-described psychic Sylvia Browne ""predicted"" a 2020 outbreak of the new coronavirus"
"author dean koontz predict 2020 new coronaviru outbreak 1981 novel ""the eye darkness.""",0,"Author Dean Koontz predicted the 2020 new coronavirus outbreak in his 1981 novel ""The Eyes of Darkness."""
"""the simpsons"" tv show predict 2020 new coronaviru outbreak 1993 episod",0,"""The Simpsons"" TV show predicted the 2020 new coronavirus outbreak in a 1993 episode"
"dr. abdu sharkawy, infecti diseas specialist, pen viral facebook post warn loss reason face panic new coronaviru 2020",1,"Dr. Abdu Sharkawy, an infectious diseases specialist, penned a viral Facebook post warning about the loss of reason in the face of panic over the new coronavirus in 2020"
"abil differenti “common cold” “coronaviru pneumonia”, interpret covid-19 base presenc absenc mucu phlegm, also known sputum, cough",0,"The ability to differentiate the “common cold” from “coronavirus pneumonia”, interpreted here as COVID-19 is based on the presence or absence of mucus or phlegm, which is also known as sputum, during coughing"
coronavirus die first exposur sun,0,Coronaviruses will die at the first exposure to sun
"coronavirus group suscept inactiv ultraviolet radiat group viruses, like adenovirus",1,"Coronaviruses as a group are more susceptible to inactivation from ultraviolet radiation than other groups of viruses, like adenoviruses"
coronaviru surviv longer metal surfac,1,The coronavirus survive longer on metal surfaces
"found viabl [covid-19] viru could detect aerosol 3 hour post aerosolization, 4 hour copper, 24 hour cardboard 2-3 day plastic stainless steel",1,"We found that viable [COVID-19] virus could be detected in aerosols up to 3 hours post aerosolization, up to 4 hours on copper, up to 24 hours on cardboard and up to 2-3 days on plastic and stainless steel"
ingest cold drink food caus exacerb health condit urti,0,Ingestion of cold drinks and food can cause or exacerbate health conditions such as URTI
gargl help stem transmiss viral diseas caus urti,1,Gargling helps stem the transmission of viral diseases that cause URTIs
letter provid tip protect new coronaviru author pathologist jame robb,1,A letter providing tips on how to protect against the new coronavirus was authored by pathologist James Robb
sale corona beer drop sharpli earli 2020 consum mistakenli associ brand name new coronaviru,0,Sales of Corona beer dropped sharply in early 2020 because consumers mistakenly associated the brand name with the new coronavirus
get coronaviru drink corona beer,0,You can get the coronavirus by drinking Corona beer
u.s. vice presid mike penc introduc program cure new coronaviru carrier discredit practic convers therapi,0,U.S. Vice President Mike Pence introduced a program to cure new coronavirus carriers with the discredited practice of conversion therapy
"u.s. vice presid mike penc believ turn gay peopl straight, penc claim “no-on born coronavirus, key make hate everyth themselves. reject unhealthi attach so-cal respiratori virus.”",0,"U.S. Vice President Mike Pence believes turn gay people straight, Pence claimed “No-one is born with coronavirus, so the key is making them hate everything about themselves. Then and only then will they reject their unhealthy attachment to this so-called respiratory virus.”"
"februari 2020 vatican said pope franci two aid test posit covid-19, diseas caus new coronaviru",0,"In February 2020 the Vatican said that Pope Francis and two aides had tested positive for COVID-19, a disease caused by a new coronavirus"
vatican confirm statement pope franci two aid test posit novel coronaviru,0,The Vatican has confirmed in a statement that Pope Francis and two of his aides have tested positive for the novel Coronavirus
parent receiv case babi formula covid-19 pandem call number back company' product,0,Parents can receive a case of baby formula during the COVID-19 pandemic by calling the number on the back of the company's product
mcdonald' locat north carolina announc march 2020 provid free lunch school-ag children famili deal spread covid-19,1,A few McDonald's locations in North Carolina announced in March 2020 that they will provide free lunches to school-age children as families deal with the spread of COVID-19
everi mcdonald' give free lunch school-ag children covid-19 pandem,0,Every McDonald's is giving free lunches to school-age children during the COVID-19 pandemic
red cross worker knock door people' home sell coronaviru home test,0,Red Cross workers are knocking on doors of people's homes and selling coronavirus home tests
u.s. govern sinc taken step roll widespread test coronaviru diseas cost patient,1,The U.S. government has since taken steps to roll out widespread testing for the coronavirus disease at no cost to patients
"spokesperson world health organ said faint manner coronaviru would ""atypical.""",1,"A spokesperson for the World Health Organization said that fainting in this manner from coronavirus would be ""atypical."""
stick blow dryer face sit sauna breath hot air would kill coronaviru,0,Sticking a blow dryer in your face or sitting in a sauna and breathing in hot air would kill the coronavirus
medic profession institut recommend peopl breath hot air kill coronaviru,0,Medical professionals and institutions recommend people breathe hot air to kill the coronavirus
"amid nationwid covid-19 lockdown, italian report see wildlif swan dolphin ""returning"" newli tranquil waterways, ports, canal",1,"Amid a nationwide COVID-19 lockdown, Italians reported seeing wildlife such as swans and dolphins ""returning"" to newly tranquil waterways, ports, and canals"
"msnbc report said air: ""i hope enough peopl die coronaviru harm trump' reelection.""",0,"An MSNBC reporter said on air: ""I hope enough people die from coronavirus that it harms Trump's reelection."""
rapper eminem first celebr diagnos new coronaviru februari 2020,0,Rapper Eminem was the first celebrity to be diagnosed with new coronavirus in February 2020
"bbc news report actor daniel radcliff ""first famou person"" contract coronaviru",0,"BBC News reported that actor Daniel Radcliffe was the ""first famous person"" to contract the coronavirus"
staff gold coast hospit australia roll wilson volleybal keep tom hank compani quarantin diagnos coronaviru,0,Staff at Gold Coast Hospital in Australia rolled in a Wilson volleyball to keep Tom Hanks company in quarantine after he was diagnosed with the coronavirus
"march 11, 2020, actor tom hank rita wilson announc diagnos covid-19, diseas caus coronaviru spread around globe, abroad",1,"On March 11, 2020, actors Tom Hanks and Rita Wilson announced that they had been diagnosed with COVID-19, the disease caused by the coronavirus spreading around the globe, while they were abroad"
"presidenti nomin contest u.s. push back, $1 trillion-plu u.s. econom rescu packag negoti",1,"Presidential nominating contests in the U.S. are being pushed back, and a $1 trillion-plus U.S. economic rescue package is being negotiated"
"suppli includ protect gear, respir hand sanit dwindl",1,"Supplies including protective gear, respirators and hand sanitizer are dwindling"
"photograph post social media march 2020 show authent imag u.s. presid donald trump' speech note word ""corona"" scratch replac handwrit ""chinese.""",1,"A photograph posted on social media in March 2020 shows an authentic image of U.S. President Donald Trump's speech notes with the word ""Corona"" scratched out and replaced in handwriting by ""Chinese."""
rapidli spread coronaviru pandem take particularli harsh toll older peopl,1,The rapidly spreading coronavirus pandemic is taking a particularly harsh toll on older people
usa today publish front-pag articl develop covid-19 vaccin day kobe bryant' death report,1,USA Today published a front-page article about the development of a COVID-19 vaccine the same day Kobe Bryant's death was reported
"across countri line long, shelv empti patienc thin, author receiv surg report merchant tri cash coronaviru crisi outrag prices, phoni cure scams. associ press survey attorney gener consum protect agenc nationwid found report alreadi exceed 5,000, hundr arriv daili",1,"Across a country where lines are long, some shelves are empty and patience is thin, authorities are receiving a surge of reports about merchants trying to cash in on the coronavirus crisis with outrageous prices, phony cures and other scams. An Associated Press survey of attorneys general or consumer protection agencies nationwide found reports already exceeded 5,000, with hundreds more arriving daily"
"coronaviru layoff spark surg state jobless claims. ohio, 48,000 peopl appli jobless benefit two days. talli period prior week: 1,825",1,"Coronavirus layoffs spark surge in state jobless claims. In Ohio, more than 48,000 people applied for jobless benefits in two days. The tally during the same period the prior week: just 1,825"
"four brooklyn net players, includ kevin durant, test posit new coronavirus, bring total seven known player nba",1,"Four Brooklyn Nets players, including Kevin Durant, have tested positive for the new coronavirus, bringing the total to seven known players in the NBA"
"washington (ap) — clinic trial evalu vaccin design protect new coronaviru begin monday, accord govern offici",1,"WASHINGTON (AP) — A clinical trial evaluating a vaccine designed to protect against the new coronavirus will begin Monday, according to a government official"
cb news shut new york citi headquart clean disinfect two employe test posit coronaviru,1,CBS News shut down its New York City headquarters for cleaning and disinfecting after two of its employees tested positive for coronavirus
health offici confirm anoth case novel coronaviru northern california,1,Health officials confirmed another case of the novel coronavirus in Northern California
presid donald trump call nbc news correspond peter alexand “terribl reporter” white hous news brief ask would say american scare coronaviru,1,President Donald Trump called NBC News correspondent Peter Alexander a “terrible reporter” during a White House news briefing for asking what he would say to Americans who are scared about the coronavirus
new york governor andrew cuomo announc direct worker nonessenti busi stay home ban gather statewid,1,New York Governor Andrew Cuomo announced he was directing all workers in nonessential business to stay home and banned gatherings statewide
"outbreak, busi doubl winhal market near stratton mountain ski resort southern vermont, resid new york boston pour",1,"During the outbreak, business has more than doubled at the Winhall Market near Stratton Mountain Ski Resort in southern Vermont, as residents of New York and Boston pour in"
"valencia, spain, close beach prevent peopl flee viru come there, lead revers migrat away shore",1,"Valencia, Spain, has closed its beaches to prevent people fleeing the virus from coming there, and leading to a reverse migration away from the shore"
"monaco’ head state princ albert ii contract coronavirus. statement, palac said albert continu work home offic",1,"Monaco’s head of state Prince Albert II contracts coronavirus. In a statement, the palace said Albert is continuing to work from his home office"
elba latest high profil celebr test posit viru,1,Elba is the latest high profile celebrity to have tested positive for the virus
"ny, nj, connecticut close bars, eateri fight coronavirus. governor three state said essenti busi supermarket ga station abl stay open 8 p.m. monday, though non-essenti busi must close. restaur abl offer take-out deliveri",1,"NY, NJ, Connecticut close bars, eateries to fight coronavirus. The governors of all three states said essential businesses such as supermarkets and gas stations will be able to stay open after 8 p.m. Monday, though all non-essential businesses must close. Restaurants will be able to offer take-out and delivery"
"suprem court announc monday postpon argument late march earli april coronavirus, includ fight subpoena presid donald trump’ financi record",1,"The Supreme Court announced Monday that it is postponing arguments for late March and early April because of the coronavirus, including fights over subpoenas for President Donald Trump’s financial records"
"coronaviru live air sever hours, 24 hour cardboard two three day plastic stainless steel. clean surfac solut contain dilut bleach kill",1,"The coronavirus can live in the air for several hours, up to 24 hours on cardboard and up to two to three days on plastic and stainless steel. Cleaning surfaces with solutions containing diluted bleach should kill it"
"donat blood requir administ free test covid-19, diseas caus coronaviru",0,"Donating blood requires that you be administered a free test for the COVID-19, a disease caused by the coronavirus"
get free coronaviru test donat blood,0,You will get a free coronavirus test by donating blood
second person mar-a-lago presid donald trump test posit coronavirus. that' accord republican offici spoke condit anonym order discuss privat health matter,1,A second person who was at Mar-a-Lago with President Donald Trump has tested positive for coronavirus. That's according to a Republican official who spoke on condition of anonymity in order to discuss private health matters
trump declar coronaviru pandem nation emergency. presid said would free much $50 billion state local govern respond outbreak,1,Trump declares coronavirus pandemic a national emergency. The president said it would free up as much as $50 billion for state and local governments to respond to the outbreak
boston marathon postpon sept. 14 prevent coronaviru spread,1,Boston marathon postponed until Sept. 14 to prevent coronavirus spread
novel coronaviru live two three day plastic stainless steel,1,The novel coronavirus can live for two to three days on plastic and stainless steel
map john hopkin univers show spread covid-19 contain malwar,0,A map from Johns Hopkins University that shows the spread of COVID-19 contains malware
disneyland close california rush battl coronaviru,1,Disneyland closes as California rushes to battle coronavirus
cristina higgin author person account spread covid-19 itali,1,Cristina Higgins authored a personal account about the spread of COVID-19 in Italy
"“we friend get sick. it’ stressful,” higgin told nbc news phone home bergamo, she, like everyon else, government-ord home isolation, even though famili sick",1,"“We have friends who are getting sick. It’s very stressful,” Higgins told NBC News over the phone from her home in Bergamo, where she, like everyone else, is under government-ordered home isolation, even though she and her family are not sick"
covid-19 flu,0,COVID-19 is same as flu
"anthoni fauci, director nation institut allergi infecti diseases, told hous oversight reform committe covid-19 least “10 time lethal” season flu",1,"Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, told the House Oversight and Reform Committee that COVID-19 was at least “10 times as lethal” as the seasonal flu"
"itali restrict public gather travel 60 million residents. nonessenti busi restaur bar closed, countri encourag social distancing. food store pharmaci busi allow stay open restrict lift",1,"Italy has restricted public gatherings and travel for all 60 million of its residents. Nonessential businesses such as restaurants and bars have been closed, and the country is encouraging social distancing. Food stores and pharmacies are about the only businesses that will be allowed to stay open until restrictions are lifted"
intens care unit itali oper capac,1,Intensive care units in Italy are operating at capacity
"number contagion start go down, system, italy, collapse. why? today icu lombardi capac – capacity. begun put icu unit hallways. number go down, growth rate contagion tell us thousand peopl matter week? two weeks? need care. happen 100, 1000 peopl need hospit icu place left",1,"If the numbers of contagion do not start to go down, the system, Italy, will collapse. Why? Today the ICUs in Lombardy are at capacity – more than capacity. They have begun to put ICU units in the hallways. If the numbers do not go down, the growth rate of contagion tells us that there will be thousands of people who in a matter of a week? two weeks? who will need care. What will happen when there are 100, or a 1000 people who need the hospital and only a few ICU places left"
"nhl suspend season amid coronaviru pandemic. nhl commission gari bettman said hope resum season, hold playoff still hand stanley cup",1,"NHL suspends season amid coronavirus pandemic. NHL Commissioner Gary Bettman said there are hopes of resuming the season, holding the playoffs and still handing out the Stanley Cup"
broadway shut door prevent coronaviru spread,1,Broadway shuts its doors to prevent coronavirus spread
mlb delay open day least 2 week coronaviru,1,MLB delays opening day by at least 2 weeks because of coronavirus
ny fed buy rang treasuri tri eas coronaviru jitter,1,NY fed to buy a range of treasurys to try to ease coronavirus jitters
us capitol close public april amid coronaviru outbreak,1,US capitol closing to public until April amid coronavirus outbreak
nba suspend season notic coronaviru,1,NBA suspends season until further notice over coronavirus
hold breath ‘simpl self-check’ coronaviru,0,Holding your breath is a ‘simple self-check’ for coronavirus
declar coronaviru crisi pandem,1,WHO declares that coronavirus crisis is now a pandemic
drink boil water prevent coronaviru,0,Drinking boiled water will prevent coronavirus
"midst novel coronaviru outbreak, influenc claim take mega-dos vitamin c cure covid-19",0,"In the midst of the novel coronavirus outbreak, some influencers are claiming that taking mega-doses of vitamin C can cure COVID-19"
"eat oranges, broccoli potato much possibl cure covid-19",0,"Eating oranges, broccoli and potatoes as much as possible can cure COVID-19"
stock plummet amid coronaviru fear oil-pric crash,1,Stocks plummet amid coronavirus fears and oil-price crash
presid donald trump sign $8.3 billion measur help tackl coronaviru outbreak kill 12 peopl u.s. infect 200,1,President Donald Trump signed an $8.3 billion measure to help tackle the coronavirus outbreak that has killed 12 people in the U.S. and infected more than 200
drink vodka bfight coronaviru,0,Drinking vodka can bfight the coronavirus
"pet cat dog cannot pass new coronaviru humans, test posit low level pathogen catch owner",0,"Pet cats and dogs cannot pass the new coronavirus on to humans, but they can test positive for low levels of the pathogen if they catch it from their owners"
"death spike iran itali infect spread quickli europe, mideast americas, countri consid new drastic measur curb new coronaviru",1,"With deaths spiking in Iran and Italy and infections spreading quickly through Europe, the Mideast and the Americas, countries were considering new drastic measures to curb the new coronavirus"
"school across unit state cancel trip abroad, prepar onlin lesson even rethink “perfect attendance” award brace possibl new coronaviru could begin spread commun",1,"Schools across the United States are canceling trips abroad, preparing online lessons and even rethinking “perfect attendance” awards as they brace for the possibility that the new coronavirus could begin spreading in their communities"
offici warn pop bubbl wrap china could expos one coronaviru,0,Officials are warning that popping bubble wrap from China could expose one to coronavirus
"biden claim world health organ “offer [coronavirus] test kit available” u.s., “we refus them.” trump claim ""wa bad test."" wrong",1,"Biden claimed that the World Health Organization “offered the [coronavirus] testing kits that they have available” to the U.S., but “we refused them.” Trump claimed it ""was a bad test."" Both are wrong"
nation lockdown entir countri quarantin two week,0,There Is A National Lockdown And The Entire Country Will Be Quarantined For Two Weeks
fema deploy militari asset,0,FEMA Has Deployed Military Assets
need stockpil mani groceri suppli,0,I Need To Stockpile As Many Groceries And Supplies As I Can
"heard u.s. govern send $1,000 check",0,"I Heard That The U.S. Government Is Sending $1,000 Checks"
60 year age exist health problem risk coronaviru,0,Only Those Over 60 Years Of Age And Those With Existing Health Problems Are At Risk From The Coronavirus
presid trump go announc mandatori two-week quarantin whole countri go viral,0,President Trump is going to announce a mandatory two-week quarantine for the whole country is going viral
"administr bar peopl high-risk countri travel unit states. director nation institut allergi infecti diseases, dr. anthoni s. fauci, also told american “hunker down.”",0,"The administration has barred people from high-risk countries from traveling to the United States. The director of the National Institute of Allergy and Infectious Diseases, Dr. Anthony S. Fauci, also told Americans to “hunker down.”"
"trump administr propos plan provid direct payment u.s. citizens, begin april 6, blunt econom impact coronaviru",1,"The Trump administration has proposed a plan to provide direct payments to some U.S. citizens, beginning April 6, to blunt the economic impact of the coronavirus"
trump administr recent announc plan $1 trillion emerg stimulu packag allevi econom strain caus coronaviru pandem,1,The Trump administration recently announced plans for a $1 trillion emergency stimulus package to alleviate economic strain caused by the coronavirus pandemic
"u.s. govern send hundr dollar per week u.s. citizen “start from” either march 16 march 17, depend post",0,"The U.S. government is sending out hundreds of dollars per week to each U.S. citizen “starting from” either March 16 or March 17, depending on the post"
"us citizen entitl $700 usd per week stay home avoid spread covid-19 novel coronavirus, start march 17, 2020,” state one post, garner 5,000 shares. “the govern grant pay access matter employ statu",0,"All US Citizens are Entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel Coronavirus, starting from March 17, 2020,” states one post, which has garnered more than 5,000 shares. “The Government grant pay is accessible to all no matter employment status"
govern — specif state michigan florida — mandat employ school close two week respons coronaviru,0,The government — or specific states such as Michigan or Florida — has mandated that employers and schools close for two weeks in response to the coronavirus
"u.s. govern announc measur workplac 10 employe paid mandatori leav avoid spread covid-19 coronaviru start march 6, 2020.3.23",0,"The U.S. government have announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March 6, 2020.3.23"
school close 2 week also march 6th … offic resum 2 week mandatori closure. list school busi area shown list,0,All schools are to close for 2 weeks also from March 6th … Offices will resume after 2 weeks of the mandatory closure. A list of all schools and businesses in your area is shown on the list
remdesivir approv consum use,0,Remdesivir has been approved for consumer use
"remdesivir approv clinic trial, consum use",1,"Remdesivir has only been approved for a clinical trial, not for consumer use"
"nanci pelosi wouldn’t releas 8.5 billion coronaviru without abort funding, trump went around declar nation emerg got 50 billion",0,"Nancy Pelosi wouldn’t release 8.5 billion for Coronavirus without abortion funding, so Trump went around her to declare a National Emergency and got 50 billion"
"“8.5 billion” refer differ bill — coronaviru prepared respons supplement appropri act — democrat-control hous pass march 4. provid $8.3 billion feder agenc respond outbreak (which $2.5 billion origin request white house). republican-l senat approv measur next day, presid donald trump sign law march 6, day post appear facebook",1,"“8.5 billion” refers to a different bill — the Coronavirus Preparedness and Response Supplemental Appropriations Act — that the Democrat-controlled House passed on March 4. It provides $8.3 billion for federal agencies to respond to the outbreak (which was more than the $2.5 billion originally requested by the White House). The Republican-led Senate approved the measure the next day, and President Donald Trump signed it into law on March 6, days before the post appeared on Facebook"
white hous congress work massiv stimulu packag address novel coronaviru pandem — could result payment individu taxpay — social media user suggest aid could withheld critic presid donald trump,0,As the White House and Congress work on a massive stimulus package to address the novel coronavirus pandemic — which could result in payments to individual taxpayers — social media users suggests such aid could be withheld from critics of President Donald Trump
"donald trump:yes, order treasuri secretari send check americans! first however, go social media histori last 4 year search post #notmypresid it. wouldn’t think offend check i’m president! #maga",0,"Donald Trump:Yes, I ordered the Treasury Secretary to send checks to Americans! First however, we will go through your social media history from the last 4 years and search for any post with #NotMyPresident in it. I wouldn’t think of offending you with a check if I’m not your president! #MAGA"
"case peopl found infected, clear symptom",1,"In some cases people have been found to be infected, but clear of any symptoms"
asymptomat peopl transmit coronaviru other,1,Asymptomatic people can transmit the coronavirus to others
"possibl contract coronaviru touch contamin surfac touch mouth, nose even eye",1,"It is possible to contract the coronavirus by touching a contaminated surface and then touching your mouth, nose or even eyes"
"cdc advis peopl wash hand frequently, soap water minimum 20 seconds, avoid touch face unwash hands, avoid close contact sick individuals, avoid social interact gener prevent commun spread",1,"The CDC advises people to wash their hands frequently, with soap and water for a minimum of 20 seconds, avoid touching their faces with unwashed hands, avoid close contact with sick individuals, and avoid social interactions generally to prevent community spread"
"“peopl die never die before.” – donald j. trump, march 18, 2020",0,"“People are dying who have never died before.” – Donald J. Trump, March 18, 2020"
"viral post social media claim covid-19 wors outbreak occur “everi elect year,” suggest new coronaviru “hyped” hurt presid donald trump",0,"Viral posts on social media claim COVID-19 is no worse than other outbreaks that have occurred in “every election year,” suggesting that the new coronavirus is being “hyped” to hurt President Donald Trump"
viral imag whiteboard sign claim “post doctor offic today” purportedli list diseas outbreak occur “everi elect year” sinc 2004. imag say new coronaviru “be hype black plague.” one facebook post share photo includ comment new coronaviru “i hype make trump look bad.”,0,A viral image of a whiteboard sign claiming to have been “Posted at a Doctors office today” purportedly lists disease outbreaks that occurred in “every election year” since 2004. The image says the new coronavirus is “being hyped as The Black Plague.” One Facebook post that shared the photo includes a comment that the new coronavirus “is hyped to make Trump look bad.”
everi elect year disease: sars-2004 avian-2008 swine-2010 mers-2012 ebola-2014 zika-2016 ebola-2018 corona-2020,0,Every election year has a disease: SARS-2004 Avian-2008 Swine-2010 MERS-2012 Ebola-2014 Zika-2016 Ebola-2018 Corona-2020
spread covid-19 level,0,The spread of COVID-19 is leveling off
covid-19 definit level u.,0,COVID-19 is definitely not leveling off in the U.S
presid donald trump offici misleadingli suggest tech behemoth googl work screen websit larg number american could soon use see test new coronaviru,0,President Donald Trump and other officials misleadingly suggested that tech behemoth Google was working on a screening website that large numbers of Americans could soon use to see if they should be tested for the new coronavirus
