,input,output
111,regret lie youv done report blunt question trump goe unansw,0.0
112,think conserv media like fox news kill peopl rhetor like heard quit question covid vaccin misinform dana bash surgeon gener vivek murthi,1.0
113,dont wear cloth mask cloth mask littl facial decor cnn dr leana wen,1.0
114,donald trump simpli stupid done real question around put bug ear think that one reason milley concern rightli radiofreetom w nicolledwallac,0.0
115,dr anthoni fauci lost faith confid american peopl oz said time new face talk american peopl one trust,1.0
116,dr fauci march mad bracketolog pick page 1408 fauciemail obtain buzzfe,1.0
117,dr oz say america need learn wuhan quarantin lesson doesnt sound anyth like conserv,2.0
118,educ lift us poverti lt governorelect virginia winsom spear go safer neighborhood safer commun children go get good educ voteforamerica2021,1.0
119,enyart use gleefulli read obituari peopl die aid play anoth one bite dust queen nowdefunct tv program bob enyart live dont know feel im feel right,0.0
120,even biden media alli find hard ignor border crisi whatev dont call surg attempt illeg immigr cross southern border crisi that messag american media get,2.0
121,even goe el paso she got spend time land owner stakehold citi counti offici hope sit brave men women green blue repcuellar ahead vp harriss trip border amid migrant surg,1.0
122,everi effort go particular church servic come stream nsw polic deputi commission said polic australia may monitor livestream church servic noncompli nswpol auspol,1.0
123,everybodi board decis that made sean mark say unanim approv net player bring kyri irv back parttim player,1.0
124,everyth quick bench hope us everyth ok slaviša jokanović john fleck,1.0
125,f joe biden chant thousand municip worker fdni em sdni march across brooklyn bridg stop mandat,2.0
126,f garbag deblasio chant municip worker thousand cross brooklyn bridg protest vaccin mandat nyc,1.0
127,fda delay moderna adolesc review rare side effect biznew businessnew businesstalk food drug administr delay decis author moderna inc mrna 169 covid19 vaccin adolesc assess whether shot may lead heig,1.0
128,fed gov brian kemp said fed atlanta mayor keisha lanc bottom reason citi crime spike argu peopl tire leader blame somebodi els problem,2.0
129,fauci nih divis ship part 375800 grant lab tunisia drug beagl lock head mesh cage fill hungri sand fli insect could eat aliv bipartisan legisl demand answer fauci,1.0
130,fifth circuit affirm stay osha emerg temporari standard covid19 vaccin test emplaw vedderlaw,1.0
131,first dont get vaccin get peopl chuck weigh kyri irv situat brooklyn net nbaontnt,1.0
132,florian dagouri world record holder static breathhold freediv diagnos myopericard pfizer vaccin possibl end career,2.0
133,florida complet reject fear way make polici public health that unfortun centerpiec health polici us ever sinc begin pandem expir date done dr ladapo,1.0
134,first time presid joe biden face trust deficit among american come covid19,0.0
135,next articl earthquak silver line construct job salari zimbabw chart,1.0
136,forc send kamala harri campaign trail 16 month elect day clear sign biden administr concern democrat abil win 2022psamsundar,1.0
137,former presid obama host 60th birthday bash martha vineyardheld obama 12million home sit 30 oceanfront acr 475 confirm guest pearl jam set playsteven spielberg also expect,1.0
138,frankli lucki vaccin vaccin young peopl someth gotta realli stop trump push antivax talk point hanniti,0.0
139,refus refer unvaccin conserv tiktok declar want everyon call pureblood,1.0
140,fuck blue origin sweatshirt read back blue pdx thin blue line brought support offic right end ralli salem oregon tri burn,1.0
141,f sister f wife hope fking die rest piss protest confront polic olympia wash arrest antifa sieg red lion hotel polic make arrest video jasonrantz,2.0
142,gen milley need call today ask polygraph said china sen randpaul tell believ milley alleg action could caus accident war,1.0
143,get boost dr fauci say vaccin manufactur prepar possibl booster specif omicron variant american elig booster shouldnt wait would waitingw may need variantspecif boost,1.0
144,giuliani saysd blasioamp cuomodisastr polici burst dam open violent crimecuomo nobail lawdisgorg recidivist onto street de blasio wasnt open door riker excus pandem releas infect prison onto street,2.0
145,go game unvaccin american im repres countri multipl way freedom make decis like us swimmer michael andrew,1.0
146,great reset,1.0
147,gun violenc epidem countri joe biden,2.0
148,vaccin would probabl still stepson uk first omicron victim told lbc fit healthi refus coronaviru vaccin nickferrarilbc,0.0
149,hang time restaur texa kick famili wear mask even though immunocompromis child,0.0
150,hate isnt go bring us pandem amp im gonna hate anybodi said thing everybodi entitl opinion amp alway believ aaronrodgers12 patmcafeeshowl,0.0
151,doesnt damn thing trump dog republican gov doug ducey home state arizona get crowd boo pivot bash senat minor leader mitch mcconnel also get boo,2.0
152,insist countri believ abort faith capac doctor especi constitut articl 1 say state preserv life concept,1.0
153,sanit legitim rightw conspiratori think dodg tri nail specif wrap argument censorship free speech read tucker carlson profil none quit get,2.0
154,went get sip water forgot put mask teacher tell put back instead pull front classroom front student amp tape mask across top face,2.0
155,he done hell jobthat sad presid biden gov cuomo,0.0
156,he come glennyoungkin ask morn would ralli trump ahead elect day,0.0
157,he suppos buy ventil trump attack andrew cuomo say feder govern provid new york need medic gear,0.0
158,he guy didnt get cover fall walk stair former presid donald trump blast media treatment presid joe biden ralli alabama saturday trumpral,1.0
159,health minist insist vaccxint benefici children jorg alcoc said would vaxcc11nt grandchildren mexico justsayno,1.0
160,hello hope alltim favorit presid donald trump ye thank presid trump record robocal tx06 im honor support look forward advanc america first agenda congress maga,0.0
161,herd immun possibl delta variant still infect vaccin individu professor sir andrew pollard director oxford vaccin group say noth uk stop emerg new variant,1.0
162,come airplan good job buddi,2.0
163,us there grow recognit bit like wwf entertain reali think peopl recogn lot show amp bombast go nowher elect fair romney trump lie elect,2.0
164,hey siri show biggest po internet today dealwithit,2.0
165,high viral load suggest increas risk transmiss rais concern unlik variant vaccin peopl infect delta transmit viru said cdcdirector dr rochel walenski,1.0
166,histopatholog analysi show clear evid vaccineinduc autoimmunelik patholog multipl organ sucharit bhakdi md medic microbiologist immunologist arn burkhardt md senior pathologist,1.0
167,hold line chant appear thousand municip worker includ fdni em nypd sdni happeningnow brooklyn bridg,1.0
168,hope go continu go trajectori downward care dont prematur declar victori mani respect dr anthoni fauci discuss dip daili covid19 case cnnsotu,1.0
169,hope soon 5 11yearold elig vaccin top dont want separ famili new york mayor bill de blasio,1.0
170,hope soon 5 11yearold elig vaccin top dont want separ famili nyc mayor bill deblasio,1.0
171,hospit hire nurs amp staff natur immunitythey one least like infect resid yet opposit theyr fire deepdiv w harvard epidemiologist martinkulldorff watch,1.0
172,messag vice presid suppos charg msnbc stephani ruhl kamala harri gone miss southern border,1.0
173,could get point countri would let earn live choic vaccin think that fundament wrong believ peopl lose job issu fight govrondesanti,2.0
174,like cheat affect outcom 2020 presidenti elect somewhat like white 51 black 49 oth nonwhit 56 dem 30 unaffil 51 gop 74 voter 51,1.0
175,say dont mind pedophilia without say much biden admin plan halt trumpera track teacher sex offens public backlash forc retreat via breitbartnew,2.0
176,hundr antilockdown protest arrest melbourn sydney awaninew awani745,1.0
177,hunter biden use nword multipl time casual convers text messag show casual use n word hunter biden racist like daddi joe,2.0
178,hydroxychloroquin ivermectin zpak steroid nebul rep louie gohmert give speech texa youth summit he give terribl covidrel medic advic huge cheer,0.0
179,got covid joe rogan say he use ivermectin unproven antiparasit drug treatment,1.0
180,got im go let die san diego deputi process narcot arrest expos fentanyl immedi collaps overdos eye roll back thank partner help,1.0
181,know seem weird nih director suggest parent wear mask home around children,1.0
182,acknowledg made comment peopl might felt mislead anybodi felt misl comment take full respons aaronrodgers12 patmcafeeshowl,1.0
183,furiou vaccin miguelmarquez goe insid hospit current covid patient deep regret newday,0.0
184,disappoint particularli republican governor cavali health kid cavali health commun play real isnt game presid biden say,0.0
185,believ harri told cb believ respect abl tell stori courag harri told report presidenti campaign stop nevada tuesday yet she go sit billclinton,1.0
186,believ give booster vulner elderli right around say scottgottliebmd term kid age 12 suspect that go avail winter,0.0
187,call long time ago interview nbsaphiermd former presid trump challeng democrat dismiss earli wuhan lab leak theori watch full interview fox nation panic attack play polit scienc,1.0
188,see someon would take issu titl terrorist gain lot notorieti vocabulari past decad came prepar offic hodg explain refer jan 6th rioter terrorist,2.0
189,cant believ peopl complain bill would imprison peopl without trial break law fine ill remov peasant,1.0
190,care freedom care person health caleb wallac argument shannon hospit offici caleb age 30 die covid exact shannon medic center refus vaccin leav behind wife four children,0.0
191,certainli dont think go everi six month think weve said outset could becom annual inocul much like flu shot say scottgottliebmd,0.0
192,didnt beat beat durr said state new jersey peopl new jersey beat listen say listen say repudi governor murphi,1.0
193,dont agre presid lot polici front sen mitt romney tell jaketapp take word think he man honor absolut cnnsotu,2.0
194,dont care think im satan reincarn fact cant look televis say noth happen 6th cant listen peopl say peac march bidentownhal,1.0
195,dont take pleasur clash senat dr fauci say heat exchang sen paul ad paul complet line made inflammatori believ slander remark lie oath,1.0
196,dont think right move dont think tell peopl vaccin wear mask quit frankli like except say scottgottliebmd la counti bring back mask mandat indoor set,0.0
197,dont think scold approach purveyor misinform theyr right robert kennedi jr one notori one biden scold peopl lie oppos liar jake tapper,0.0
198,dont think children get think peopl freedom get cant forc right former presid trump discuss covid19 vaccin finnertyusa,1.0
199,dont think true delta wave delta warn scottgottliebmd case ne true delta wave go build labor day northeast think labor day return school go incub spread,0.0
200,dont think hear never mind fair one trainer john berri plan appeal dereham finish second behind wynford event finish pontefract,2.0
201,dont think your gonna see central vaccin mandat say dr anthoni fauci see futur local mandat,1.0
202,dont want hear blip covid gov desanti respond presid biden critic handl covid florida hospit mani bed,1.0
203,dont understand point make serious,1.0
204,dont deserv anyth grace faith jesu given everyth record come go glori god etern sydney mclaughlin 2020 olymp gold medalist 400m hurdl anoth world record,1.0
205,dont deserv anyth grace faith jesu given everyth record come go glori god etern sydney mclaughlin world record holder women 400 meter hurdl,1.0
206,feel enliven feel energ gavinnewsom visit school oakland one day ca voter overwhelmingli reject californiarecal newsom say feel deep sens respons vote vote ye foxla,1.0
207,feel like heal come sandra lindsay critic care nurs nyc first person new york get covid19 vaccin nontrial set,0.0
208,feel like gave usthey look public school kid amp said know realli arent import high school student harlem call citi leadership school reopen,1.0
209,got shit dial year half ago got ok didnt see come never thought vega could shut amp amp im readi anyth danawhit covid amp futur potenti sport shutdown patmcafeeshowl,1.0
210,gotta call seth ragin emmi winner brett goldstein hannah waddingham react seth rogen mispronounc last name,1.0
211,guess one way put realli hard woman cnn see decis priorit men seem creat cultur defend protect peopl dont need defend protect,1.0
212,fight 17 year will throw away say senior leader demand account marin lt col stuart scheller failur afghanistan led american servicemen die,1.0
213,havent seen poll edokeef ask presid biden respond new cb news poll suggest american mostli disapprov handl afghanistan,1.0
214,herebi order texa nation guard assist enforc texa law arrest lawbreak border gregabbott_tx say via kayleegreenle dailysign,2.0
215,hope fill day brim posit energi thought world stop continu move forward bts_twt share thought role us play creat better futur special event unhq,2.0
216,cant believ onlin conspiraci theorist misinterpret medic concentr camp bill like much kept committe 6 year,1.0
217,thinkumcovid god gift left said joe biden campaign surrog jane fonda volum elections2020 debates2020 realdonaldtrump,1.0
218,want say unit state america tell live think boss incompet dishonest disgust politician big tech tyrant left wing bulli anybodi els born free live free,1.0
219,know peopl like individu freedom told someth think seriou situat certain circumst mandat done dr anthoni fauci,1.0
220,know former head state state need keep certain inform confidenti war crime cannot kept confidenti unveil crime cannot persecut even persecut crimin mashirafael,1.0
221,love repres usa love live love im happi get repres usa american gold medalist tamyra mensahstock real patriot look like lebron jame colin kaepernick could learn lesson,1.0
222,made project month ago like scenario would need third dose annual revaccin covid say albertbourla booster think go annual revaccin abl keep us realli safe,1.0
223,may liter still covid right ive tri get hand antihom covid antigen test pharmaci one reason biden administr fault clip last night kennedyn foxbusi,1.0
224,mess big time guy say oxygen mask one video didnt get vaccin made mistak admit hope he turn corner scari stretch thought need make arrang case die,1.0
225,share opinion polar get misl peopl statu take full respons im gonna continu tri amp best version move forward aaronrodgers12 patmcafeeshowl,0.0
226,stand action 100 florida mother spend night jail refus leav daughter side jacksonvil hospit lynn savag uf health north,2.0
227,studi foxnewssunday fact check presssec terror border secur,1.0
228,think lot peopl gonna go outsid sudden trump dhss preliminari find coronaviru doesnt well sunlight insid,2.0
229,think everybodi head nih agenc right resign said peta senior vp kathygfrompeta report cruel experi dog fund taxpay dollar monday american agenda,1.0
230,think fair say feel mix anticip anxieti frustrat confus exasper get zucker say add continu take care share updat soon,2.0
231,think time resign rand paul fauci,1.0
232,think suppli chain issu hold economi back somewhatit take boost suppli secyellen discuss impact suppli chain crunch american global economi tell saraeisen expect relief,1.0
233,think nfl send strong signal import get vaccin dr fauci react today news nfl team forfeit game must reschedul due covid19 outbreak among unvaccin player,1.0
234,think also need reform visa system take million legal immigr everi year that probabl way high bgmaster moment truth,1.0
235,think may look collaps health care system throughout state alabama dr david kimberlin codirector divis pediatr infecti diseas univers alabama,0.0
236,think leav discret local offici implement measur base local spread scottgottliebmd say delta variant case surg,0.0
237,think need fourth dose said multipl time say pfizer ceo albertbourla israel roll fourth covid vaccin dose need someth differ better abl month,1.0
238,think weve got guard term test tube studi make conclus one aspect immun say jnjnew cfo joseph wolk report vaccin less effect deltavari jnj,0.0
239,think alreadi countri say south african doctor first rais concern omicron variant dr angeliqu coetze say uk doctor might focus delta symptom miss omicron variant marr,1.0
240,told poor perform coach zimmer nflnetwork,0.0
241,understand talk point your answer question mr attorney gener repmikejohnson grill attorney gener merrick garland potenti critic race theori conflict interest thursday committe hear,2.0
242,want abolish carcer system that design trap black brown men want justic want peac want prosper aoc time mobil elect ninaturn ohio 11th congression district hellosomebodi,0.0
243,want clear life unvaccin difficult indefinit,1.0
244,want introduc new friend mine dane begin potu,1.0
245,want thank everi amazon employe everi amazon custom guy paid jeff bezo say blue origin flight,2.0
246,send delawar gov ron desanti rfl use undocu human be polit pawn threaten presid biden border secur,2.0
247,wonder prove right next perhap elect,1.0
248,would note time context former presid also suggest peopl inject version poison vein cure covid jen psaki peter dooci,1.0
249,wouldnt surpris thing dont quit shape way poll suggest see earli accur julian castro react first exit poll virginia,1.0
250,wouldnt surpris whole infect one million peopl day right pick tenth infect less tenth say scottgottliebmd recent covid spike,0.0
251,im 5ft 1 liter went bought first pair buffalo boot emmabunton tell us becam spice girl catch bbciplay theoneshow,2.0
252,im go surgeri half left lung remov comedian actress kathi griffin post instagram ye lung cancer even though ive never smoke,1.0
253,im absolut confid pennsylvania ag shapiro say prevent 2020 elect audit state everi time theyv tri push big lie court theyv lost weve weve defend peopl,0.0
254,im go upset peopl think dr fauci said ask covid vaccin requir teacher major surg go fall school season seriou busi,1.0
255,im gonna make sure secur attempt life end spend 200000 suck defund polic happen need defund polic quot go haunt democrat midterm,1.0
256,im rain im snow ive work provid food also take care famili share diana longtim bronx street vendor diana pictur photo ig user heroichira front nypd offic fruit stand thursday 923,1.0
257,im odd man hate set michel tafoya wreak havoc theview defend antivaxx slam critic race theori,1.0
258,im proud he barrybond jenhale504 dog rocki compet wkcdogshow mlbonfox,2.0
259,im look clinician treat 150000 patient fewer 2 dozen death hydroxychloroquin yale epidemiologist dr harvey risch efficaci hydroxychloroquin ivermectin amp therapeut watch,1.0
260,im antivaxx flatearth allergi ingredi that mrna vaccin found long term immun protocol protect amp im proud research went aaronrodgers12 patmcafeeshowl,1.0
261,im gun control im prevent gun violenc gun death cdcdirector dr rachel walenski say plan reduc gun violenc unit state,1.0
262,im sick covid dont get wrong mean im sad sick die obvious frontlin worker medic profession your hero follow rule like mani im sick worri covid say shepard smith,1.0
263,im sorri made mistak get vaccin vaccin import better parent human hope god everybodi els travi campbel hospit covid19 say regret take vaccin,0.0
264,im surgeon dozen doctor avail region haiti home one million peopl aftermath earthquak turn increasingli dire,2.0
265,im will lose safeti secur hous everyth freedom kaiser permanent nurs said,1.0
266,ive long said think two mrna vaccin compar term efficaci say scottgottliebmd pfizer vaccin distribut earlier also distribut peopl might risk either contract covid come contact covid,0.0
267,ive seen lot crazi thing joe show one one craziesta fake white hous set sophi ohara,1.0
268,2020 taught us one thing authoritarian rise cawthornfornc look domin 2022,2.0
269,go coup regneri donald j trump bookstor fall,0.0
270,get page unstuck,1.0
271,mississippi countri would second world peru term death per capita due respect governor way fail cnn jaketapp press mississippi gop gov tate reev state covid19 death rate cnnsotu,2.0
272,mississippi countri would second world peru term death per capita due respect governor way fail cnn jaketapp press mississippi gop gov tate reev state covid19 death rate cnnsotu,1.0
273,govern agenc state florida forc vaccin condit employ violat florida law face 5000 fine everi singl violat gov desanti,0.0
274,anyth happen american anyth happen countri go hit harder countri ever hit anyon countri suffer like go negoti,1.0
275,doesnt courag right thing work famili west virginia america let vote front whole world sen berni sander react democrat sen joe manchin say biden build back better act cnnsotu,2.0
276,individu make establish wellfound fear persecut tortur refer third countri resettl enter unit state mayorka said,1.0
277,lockdown push digit id lead social credit system amp cbdc explain sweden huh sweden one eu countri alreadi digit id system updat hold digit covid passport,1.0
278,scienc cant question scienc anymor propaganda amp that truth aaronrodgers12 patmcafeeshowl,2.0
279,someon follow mandat that true eventu theyr go paid obvious de blasio said press confer thursday,2.0
280,ppp loan hadnt bail restaur busi would like chernobyl datz4foodi explain impact ppp save restaur busi covid pppwork watch episod 3,1.0
281,get job florida want come florida abl govrondesanti cop come florida cultur better via aggancarski flapol,2.0
282,osha chang becom law biden administr forc american busi choos vaccin employe test weekli covid19 go bankrupt crippl osha fine,1.0
283,come lab someon chines govern know theyv ampl opportun make admiss world say scottgottliebmd fact havent done pretti strong suggest wont,0.0
284,make brand new vaccin that go earli 2022 term avail say paul burton chief medic offic moderna weve mobilis hundr peopl start realli earli thursday marr,0.0
285,vaccin high preval area contact viru think might viru mild symptomsb prudent get test mayb wear mask especi around vulner person say scottgottliebmd,1.0
